times,subtide,subtide_parm,subtide_postmean,subtide25,subtide50,subtide75,D1_phase,D1_phase_parm,D1_phase_postmean,D2_phase,D2_phase_parm,D2_phase_postmean,D3_phase,D3_phase_parm,D3_phase_postmean,D4_phase,D4_phase_parm,D4_phase_postmean,D1_amp,D1_amp_parm,D1_amp_postmean,D1_amp_25,D1_amp_50,D1_amp_75,D2_amp,D2_amp_parm,D2_amp_postmean,D2_amp_25,D2_amp_50,D2_amp_75,D3_amp,D3_amp_parm,D3_amp_postmean,D3_amp_25,D3_amp_50,D3_amp_75,D4_amp,D4_amp_parm,D4_amp_postmean,D4_amp_25,D4_amp_50,D4_amp_75
-960.00,3.3756,3.3604,3.3514,3.3066,3.3503,3.3919,0.134505, 1.5934e-01, 1.2666e-01,0.201757,0.254317,0.249127,0.403514,0.501422,0.517011,0.403514,0.421202,0.448820,0.242340,0.223752,0.219948,0.187608,0.221356,0.254405,0.50486,0.49418,0.49566,0.46535,0.49403,0.52697,0.18933,0.195885,0.202984,0.168930,0.201852,0.23727,0.089818,0.098853,0.103028,0.082238,0.103012,0.122577
-959.75,3.3748,3.3603,3.3516,3.3093,3.3499,3.3906,0.134481, 1.5895e-01, 1.2689e-01,0.201721,0.253406,0.248432,0.403443,0.499966,0.515016,0.403443,0.421111,0.448323,0.242413,0.223920,0.220120,0.188275,0.221407,0.253773,0.50500,0.49439,0.49577,0.46567,0.49418,0.52608,0.18935,0.195750,0.202552,0.168999,0.202022,0.23587,0.089827,0.098522,0.102522,0.082517,0.102383,0.121928
-959.50,3.3740,3.3601,3.3517,3.3105,3.3504,3.3902,0.134457, 1.5857e-01, 1.2711e-01,0.201686,0.252499,0.247741,0.403372,0.498508,0.513033,0.403372,0.421000,0.447774,0.242484,0.224090,0.220294,0.188918,0.221794,0.253526,0.50513,0.49460,0.49588,0.46647,0.49444,0.52577,0.18937,0.195615,0.202131,0.169263,0.201770,0.23496,0.089837,0.098194,0.102027,0.082759,0.101776,0.120959
-959.25,3.3731,3.3599,3.3518,3.3119,3.3508,3.3892,0.134434, 1.5818e-01, 1.2733e-01,0.201651,0.251596,0.247052,0.403303,0.497051,0.511061,0.403303,0.420870,0.447182,0.242555,0.224260,0.220471,0.189305,0.221898,0.253249,0.50526,0.49481,0.49599,0.46703,0.49488,0.52535,0.18939,0.195480,0.201721,0.169742,0.201203,0.23436,0.089846,0.097869,0.101542,0.082592,0.101357,0.120371
-959.00,3.3723,3.3598,3.3519,3.3137,3.3517,3.3871,0.134411, 1.5780e-01, 1.2754e-01,0.201617,0.250696,0.246366,0.403234,0.495594,0.509099,0.403234,0.420720,0.446554,0.242625,0.224431,0.220650,0.189878,0.222251,0.252731,0.50539,0.49502,0.49611,0.46728,0.49518,0.52486,0.18941,0.195346,0.201321,0.169697,0.200531,0.23359,0.089855,0.097548,0.101068,0.082796,0.100889,0.119377
-958.75,3.3715,3.3596,3.3521,3.3149,3.3520,3.3852,0.134389, 1.5741e-01, 1.2775e-01,0.201583,0.249800,0.245682,0.403166,0.494138,0.507145,0.403166,0.420549,0.445893,0.242693,0.224604,0.220832,0.190580,0.222592,0.252129,0.50552,0.49523,0.49622,0.46816,0.49599,0.52464,0.18944,0.195211,0.200931,0.170087,0.200138,0.23276,0.089864,0.097229,0.100605,0.083006,0.099874,0.118398
-958.50,3.3708,3.3596,3.3524,3.3171,3.3529,3.3844,0.134367, 1.5702e-01, 1.2795e-01,0.201550,0.248907,0.244998,0.403100,0.492681,0.505200,0.403100,0.420358,0.445203,0.242761,0.224777,0.221016,0.191173,0.222760,0.251983,0.50565,0.49543,0.49634,0.46851,0.49667,0.52453,0.18946,0.195077,0.200552,0.170303,0.199799,0.23218,0.089872,0.096914,0.100152,0.083327,0.099417,0.117698
-958.25,3.3700,3.3595,3.3527,3.3193,3.3526,3.3829,0.134345, 1.5664e-01, 1.2815e-01,0.201517,0.248019,0.244315,0.403034,0.491225,0.503264,0.403034,0.420145,0.444485,0.242828,0.224951,0.221202,0.191837,0.222919,0.251594,0.50577,0.49563,0.49647,0.46913,0.49646,0.52392,0.18948,0.194943,0.200183,0.170730,0.199265,0.23078,0.089881,0.096602,0.099708,0.083473,0.099011,0.116708
-958.00,3.3692,3.3594,3.3529,3.3208,3.3532,3.3824,0.134323, 1.5625e-01, 1.2834e-01,0.201485,0.247134,0.243632,0.402969,0.489770,0.501340,0.402969,0.419911,0.443739,0.242894,0.225126,0.221390,0.192451,0.222832,0.251293,0.50590,0.49583,0.49659,0.46981,0.49625,0.52325,0.18949,0.194810,0.199824,0.170620,0.199144,0.22956,0.089889,0.096293,0.099275,0.083644,0.098525,0.115829
-957.75,3.3685,3.3593,3.3532,3.3218,3.3539,3.3814,0.134302, 1.5586e-01, 1.2852e-01,0.201453,0.246253,0.242950,0.402905,0.488316,0.499427,0.402905,0.419654,0.442965,0.242958,0.225302,0.221580,0.193150,0.223109,0.251436,0.50602,0.49603,0.49672,0.47058,0.49594,0.52283,0.18951,0.194676,0.199474,0.170502,0.198997,0.22829,0.089898,0.095987,0.098850,0.083735,0.098376,0.114716
