# output from an experiment using fixed rho and sigma2_epsilon over a grid with cross validation error 
m,n,rho,sigma2_zeta,cv_mse,filter_quality,sigma2_epsilon,sigma2_kappa_M1,sigma2_kappa_M2,sigma2_kappa_M3,sigma2_kappa_M4,sigma2_kappa_M5,sigma2_kappa_M6
2,4,0.993,1.0000e-05,0.087260,2558611,0.0021498,1.3978e-13,1.3790e-13,1.3567e-13,1.3435e-13,1.3487e-13,1.3441e-13
2,4,0.994,1.0000e-05,0.094731,2539424,0.0021467,1.4025e-13,1.3847e-13,1.3625e-13,1.3511e-13,1.3563e-13,1.3464e-13
2,4,0.995,1.0000e-05,0.085887,2531898,0.0021431,1.4061e-13,1.3873e-13,1.3687e-13,1.3580e-13,1.3562e-13,1.3512e-13
2,4,0.996,1.0000e-05,,,,,,,,,
2,4,0.990,4.6416e-08,0.123995,2670411,0.0022692,1.3462e-13,1.3484e-13,1.3267e-13,1.3266e-13,1.3202e-13,1.3238e-13
2,4,0.989,4.6416e-08,0.119478,2708519,0.0022712,1.3419e-13,1.3383e-13,1.3221e-13,1.3151e-13,1.3192e-13,1.3211e-13
2,4,0.988,4.6416e-08,0.114060,2738945,0.0022762,1.3396e-13,1.3290e-13,1.3165e-13,1.3124e-13,1.3137e-13,1.3114e-13
2,4,0.990,1.0000e-07,0.109729,2670608,0.0022737,1.3419e-13,1.3395e-13,1.3257e-13,1.3223e-13,1.3221e-13,1.3174e-13
2,4,0.989,1.0000e-07,      NA,     NA,       NA,        NA,        NA,        NA,        NA,        NA,        NA
2,4,0.988,1.0000e-07,0.101041,2738915,0.0022798,1.3408e-13,1.3230e-13,1.3127e-13,1.3159e-13,1.3072e-13,1.3085e-13
2,4,0.990,2.1544e-07,0.094874,2670419,0.0022789,1.3532e-13,1.3376e-13,1.3312e-13,1.3250e-13,1.3336e-13,1.3237e-13
2,4,0.989,2.1544e-07,0.090650,2708310,0.0022816,1.3530e-13,1.3353e-13,1.3222e-13,1.3193e-13,1.3302e-13,1.3242e-13
2,4,0.988,2.1544e-07,0.086847,2738976,0.0022825,1.3436e-13,1.3365e-13,1.3218e-13,1.3064e-13,1.3170e-13,1.3139e-13
2,4,0.990,4.6416e-07,0.080223,2670638,0.0022835,1.3541e-13,1.3430e-13,1.3306e-13,1.3184e-13,1.3158e-13,1.3237e-13
2,4,0.989,4.6416e-07,0.077915,2708440,0.0022830,1.3518e-13,1.3356e-13,1.3278e-13,1.3134e-13,1.3148e-13,1.3254e-13
2,4,0.988,4.6416e-07,0.075390,2738783,0.0022852,1.3453e-13,1.3355e-13,1.3173e-13,1.3134e-13,1.3137e-13,1.3176e-13
2,4,0.990,1.0000e-06,0.071700,2670297,0.0022774,1.3549e-13,1.3493e-13,1.3321e-13,1.3306e-13,1.3260e-13,1.3162e-13
2,4,0.989,1.0000e-06,      NA,     NA,       NA,        NA,        NA,        NA,        NA,        NA,        NA
2,4,0.988,1.0000e-06,0.066732,2738848,0.0022831,1.3485e-13,1.3344e-13,1.3194e-13,1.3169e-13,1.3094e-13,1.3105e-13
2,4,0.990,2.1544e-06,0.069931,2670188,0.0022690,1.3610e-13,1.3596e-13,1.3315e-13,1.3309e-13,1.3245e-13,1.3303e-13
2,4,0.989,2.1544e-06,0.061925,2708350,0.0022724,1.3624e-13,1.3454e-13,1.3357e-13,1.3223e-13,1.3175e-13,1.3194e-13
2,4,0.988,2.1544e-06,0.060663,2738861,0.0022749,1.3534e-13,1.3371e-13,1.3261e-13,1.3135e-13,1.3139e-13,1.3158e-13
2,4,0.990,4.6416e-06,0.068167,2670483,0.0022316,1.3752e-13,1.3549e-13,1.3355e-13,1.3282e-13,1.3206e-13,1.3293e-13
2,4,0.989,4.6416e-06,0.067970,2708385,0.0022362,1.3718e-13,1.3566e-13,1.3350e-13,1.3250e-13,1.3140e-13,1.3244e-13
2,4,0.988,4.6416e-06,0.065916,2738841,0.0022404,1.3664e-13,1.3504e-13,1.3225e-13,1.3198e-13,1.3127e-13,1.3213e-13
2,4,0.990,1.0000e-05,0.087372,2670740,0.0021565,1.3821e-13,1.3638e-13,1.3356e-13,1.3322e-13,1.3346e-13,1.3268e-13
2,4,0.989,1.0000e-05,0.081716,2708830,0.0021560,1.3757e-13,1.3565e-13,1.3371e-13,1.3272e-13,1.3253e-13,1.3177e-13
2,4,0.988,1.0000e-05,0.076945,2739288,0.0021572,1.3658e-13,1.3550e-13,1.3257e-13,1.3231e-13,1.3242e-13,1.3160e-13
